FRED_symbol,date,lvl,series
JTSHIL,2000-12-01,5426,hires
JTSHIL,2001-01-01,5722,hires
JTSHIL,2001-02-01,5303,hires
JTSHIL,2001-03-01,5528,hires
JTSHIL,2001-04-01,5204,hires
JTSHIL,2001-05-01,5410,hires
JTSHIL,2001-06-01,5109,hires
JTSHIL,2001-07-01,5244,hires
JTSHIL,2001-08-01,5223,hires
JTSHIL,2001-09-01,4954,hires
JTSHIL,2001-10-01,5078,hires
JTSHIL,2001-11-01,4914,hires
JTSHIL,2001-12-01,4829,hires
JTSHIL,2002-01-01,4855,hires
JTSHIL,2002-02-01,4801,hires
JTSHIL,2002-03-01,4706,hires
JTSHIL,2002-04-01,4928,hires
JTSHIL,2002-05-01,4857,hires
JTSHIL,2002-06-01,4869,hires
JTSHIL,2002-07-01,4946,hires
JTSHIL,2002-08-01,4871,hires
JTSHIL,2002-09-01,4879,hires
JTSHIL,2002-10-01,4798,hires
JTSHIL,2002-11-01,4792,hires
JTSHIL,2002-12-01,4893,hires
JTSHIL,2003-01-01,5058,hires
JTSHIL,2003-02-01,4714,hires
JTSHIL,2003-03-01,4470,hires
JTSHIL,2003-04-01,4600,hires
JTSHIL,2003-05-01,4678,hires
JTSHIL,2003-06-01,4682,hires
JTSHIL,2003-07-01,4639,hires
JTSHIL,2003-08-01,4666,hires
JTSHIL,2003-09-01,4799,hires
JTSHIL,2003-10-01,4902,hires
JTSHIL,2003-11-01,4767,hires
JTSHIL,2003-12-01,4984,hires
JTSHIL,2004-01-01,4900,hires
JTSHIL,2004-02-01,4788,hires
JTSHIL,2004-03-01,5227,hires
JTSHIL,2004-04-01,5152,hires
JTSHIL,2004-05-01,4976,hires
JTSHIL,2004-06-01,5009,hires
JTSHIL,2004-07-01,4891,hires
JTSHIL,2004-08-01,5013,hires
JTSHIL,2004-09-01,5062,hires
JTSHIL,2004-10-01,5149,hires
JTSHIL,2004-11-01,5181,hires
JTSHIL,2004-12-01,5153,hires
JTSHIL,2005-01-01,5201,hires
JTSHIL,2005-02-01,5276,hires
JTSHIL,2005-03-01,5273,hires
JTSHIL,2005-04-01,5362,hires
JTSHIL,2005-05-01,5271,hires
JTSHIL,2005-06-01,5376,hires
JTSHIL,2005-07-01,5328,hires
JTSHIL,2005-08-01,5409,hires
JTSHIL,2005-09-01,5493,hires
JTSHIL,2005-10-01,5124,hires
JTSHIL,2005-11-01,5344,hires
JTSHIL,2005-12-01,5294,hires
JTSHIL,2006-01-01,5271,hires
JTSHIL,2006-02-01,5474,hires
JTSHIL,2006-03-01,5524,hires
JTSHIL,2006-04-01,5215,hires
JTSHIL,2006-05-01,5498,hires
JTSHIL,2006-06-01,5455,hires
JTSHIL,2006-07-01,5573,hires
JTSHIL,2006-08-01,5373,hires
JTSHIL,2006-09-01,5288,hires
JTSHIL,2006-10-01,5375,hires
JTSHIL,2006-11-01,5495,hires
JTSHIL,2006-12-01,5214,hires
JTSHIL,2007-01-01,5426,hires
JTSHIL,2007-02-01,5160,hires
JTSHIL,2007-03-01,5479,hires
JTSHIL,2007-04-01,5353,hires
JTSHIL,2007-05-01,5469,hires
JTSHIL,2007-06-01,5267,hires
JTSHIL,2007-07-01,5217,hires
JTSHIL,2007-08-01,5358,hires
JTSHIL,2007-09-01,5344,hires
JTSHIL,2007-10-01,5398,hires
JTSHIL,2007-11-01,5176,hires
JTSHIL,2007-12-01,5119,hires
JTSHIL,2008-01-01,5071,hires
JTSHIL,2008-02-01,5077,hires
JTSHIL,2008-03-01,4924,hires
JTSHIL,2008-04-01,4948,hires
JTSHIL,2008-05-01,4691,hires
JTSHIL,2008-06-01,4893,hires
JTSHIL,2008-07-01,4637,hires
JTSHIL,2008-08-01,4682,hires
JTSHIL,2008-09-01,4499,hires
JTSHIL,2008-10-01,4548,hires
JTSHIL,2008-11-01,4104,hires
JTSHIL,2008-12-01,4348,hires
JTSHIL,2009-01-01,4095,hires
JTSHIL,2009-02-01,4061,hires
JTSHIL,2009-03-01,3858,hires
JTSHIL,2009-04-01,3888,hires
JTSHIL,2009-05-01,3758,hires
JTSHIL,2009-06-01,3639,hires
JTSHIL,2009-07-01,3857,hires
JTSHIL,2009-08-01,3810,hires
JTSHIL,2009-09-01,3944,hires
JTSHIL,2009-10-01,3838,hires
JTSHIL,2009-11-01,4024,hires
JTSHIL,2009-12-01,4004,hires
JTSHIL,2010-01-01,3904,hires
JTSHIL,2010-02-01,3864,hires
JTSHIL,2010-03-01,4302,hires
JTSHIL,2010-04-01,4159,hires
JTSHIL,2010-05-01,4420,hires
JTSHIL,2010-06-01,4111,hires
JTSHIL,2010-07-01,4163,hires
JTSHIL,2010-08-01,4046,hires
JTSHIL,2010-09-01,4034,hires
JTSHIL,2010-10-01,4173,hires
JTSHIL,2010-11-01,4182,hires
JTSHIL,2010-12-01,4299,hires
JTSHIL,2011-01-01,4000,hires
JTSHIL,2011-02-01,4231,hires
JTSHIL,2011-03-01,4430,hires
JTSHIL,2011-04-01,4296,hires
JTSHIL,2011-05-01,4261,hires
JTSHIL,2011-06-01,4366,hires
JTSHIL,2011-07-01,4261,hires
JTSHIL,2011-08-01,4298,hires
JTSHIL,2011-09-01,4429,hires
JTSHIL,2011-10-01,4370,hires
JTSHIL,2011-11-01,4365,hires
JTSHIL,2011-12-01,4356,hires
JTSHIL,2012-01-01,4457,hires
JTSHIL,2012-02-01,4560,hires
JTSHIL,2012-03-01,4575,hires
JTSHIL,2012-04-01,4389,hires
JTSHIL,2012-05-01,4533,hires
JTSHIL,2012-06-01,4440,hires
JTSHIL,2012-07-01,4327,hires
JTSHIL,2012-08-01,4450,hires
JTSHIL,2012-09-01,4302,hires
JTSHIL,2012-10-01,4389,hires
JTSHIL,2012-11-01,4489,hires
JTSHIL,2012-12-01,4452,hires
JTSHIL,2013-01-01,4487,hires
JTSHIL,2013-02-01,4571,hires
JTSHIL,2013-03-01,4369,hires
JTSHIL,2013-04-01,4572,hires
JTSHIL,2013-05-01,4663,hires
JTSHIL,2013-06-01,4440,hires
JTSHIL,2013-07-01,4561,hires
JTSHIL,2013-08-01,4730,hires
JTSHIL,2013-09-01,4726,hires
JTSHIL,2013-10-01,4518,hires
JTSHIL,2013-11-01,4622,hires
JTSHIL,2013-12-01,4614,hires
JTSHIL,2014-01-01,4626,hires
JTSHIL,2014-02-01,4696,hires
JTSHIL,2014-03-01,4763,hires
JTSHIL,2014-04-01,4880,hires
JTSHIL,2014-05-01,4808,hires
JTSHIL,2014-06-01,4925,hires
JTSHIL,2014-07-01,5008,hires
JTSHIL,2014-08-01,4810,hires
