date,hires,hires_private,unemp,vacancies,empl,ur,eeflow,find_crude,sep_crude,lf,sep_approx,sep,find
2000-12-01,5426,5084,5634,5088,132718,3.9,132007,0.9630812921547746,0.039084464509923214,138352,0.041034373634322385,0.040206852362043466,0.617521849846862
2001-01-01,5722,5385,6023,5234,132698,4.2,131941,0.9500249045326249,0.04165036115905037,138721,0.04246484498636005,0.04156241153319018,0.6163897237365668
2001-02-01,5303,4938,6089,5097,132785,4.2,131858,0.8709147643291181,0.03818206691213253,138874,0.04017773091840193,0.03938599214392158,0.5803261415209164
2001-03-01,5528,5182,6141,4762,132753,4.3,131973,0.9001791239211855,0.04044691988360603,138894,0.04387848108893966,0.04297712100789608,0.5834093284909994
2001-04-01,5204,4871,6271,4615,132456,4.4,131739,0.8298516982937331,0.03819401121854002,138727,0.03962070423385877,0.038852438578830584,0.5624305311416455
2001-05-01,5410,5043,6226,4425,132412,4.3,131305,0.8689367169932541,0.039043133574409535,138638,0.04173337763948892,0.04089219381346587,0.5767049979531238
2001-06-01,5109,4748,6484,4361,132296,4.5,131227,0.7879395434916718,0.0371280413163615,138780,0.03956279857289713,0.03880850523316537,0.5413024129106516
2001-07-01,5244,4895,6583,4447,132171,4.6,130991,0.7965972960656236,0.03841035180190638,138754,0.040788070000226995,0.03998936970767386,0.5445907804567567
2001-08-01,5223,4860,7042,4024,132024,4.9,130580,0.7416927009372337,0.03821550194103518,139066,0.041522753438768656,0.04071187590888192,0.5164237777298173
2001-09-01,4954,4647,7142,4071,131765,5,130558,0.6936432371884627,0.03650753879939277,138907,0.039972678632413716,0.0392302868040032,0.4918374023514289
2001-10-01,5078,4753,7694,3707,131452,5.3,130909,0.6599948011437484,0.03693740703338824,139146,0.04098834555579223,0.040206447307392534,0.4755619920805262
2001-11-01,4914,4595,8003,3775,131142,5.5,130534,0.6140197425965263,0.035736598775459205,139145,0.03866800872336851,0.03795236781427902,0.4552273400485539
2001-12-01,4829,4495,8258,3677,130985,5.7,130347,0.584766287236619,0.03534642457315725,139243,0.037882200251937226,0.037192286803923946,0.4398733219684393
2002-01-01,4855,4532,8182,3699,130852,5.7,129970,0.5933757027621609,0.035866824026981096,139034,0.038020053189863345,0.03732325934330838,0.44488748458930694
2002-02-01,4801,4485,8215,3436,130732,5.7,130289,0.584418746195983,0.03532541732043588,138947,0.036808126548970366,0.03614044291778551,0.44232847450853763
2002-03-01,4706,4376,8304,3612,130721,5.7,130541,0.5667148362235067,0.03425529762962872,139025,0.036795924143787184,0.03614138014051127,0.43039879010938276
2002-04-01,4928,4588,8599,3471,130617,5.9,130344,0.5730898941737411,0.035932310049150616,139216,0.037606130901796875,0.03690556741962092,0.43655240174403975
2002-05-01,4857,4509,8399,3457,130633,5.8,130487,0.5782831289439219,0.0356055429710695,139032,0.03679774635811783,0.03612210790272963,0.4402119619345227
2002-06-01,4869,4554,8393,3412,130683,5.8,130541,0.580126295722626,0.0357190288236861,139076,0.03802330831095091,0.037323595149396205,0.43803849627575775
2002-07-01,4946,4615,8390,3367,130583,5.8,130737,0.5895113230035757,0.036296875514020575,138973,0.037845661380118356,0.03713790010518725,0.44548828144055186
2002-08-01,4871,4522,8304,3517,130587,5.7,130755,0.5865847784200385,0.03545634397660891,138891,0.03798234127439948,0.03728260045752263,0.4418451322452649
2002-09-01,4879,4556,8251,3301,130498,5.7,131393,0.5913222639680039,0.035742703124258986,138749,0.03644500298855158,0.03577222337712105,0.44913134366506446
2002-10-01,4798,4460,8307,3479,130621,5.7,131300,0.5775851691344649,0.03491235910993055,138928,0.036755192503502454,0.03608832805559403,0.4386830844518559
2002-11-01,4792,4443,8520,3514,130618,5.9,130895,0.5624413145539906,0.03526465202835861,139138,0.03782020854706092,0.03713472694414022,0.42712936750021413
2002-12-01,4893,4575,8640,3169,130470,6,130887,0.5663194444444445,0.03614804964539007,139110,0.036667433126389204,0.035988473338398164,0.43464437414365986
2003-01-01,5058,4710,8520,3441,130579,5.8,130692,0.5936619718309859,0.036552435632905715,139099,0.03977668690984004,0.03901603089167183,0.4448106216261787
2003-02-01,4714,4413,8618,3229,130443,5.9,131799,0.5469946623346484,0.034296158424807925,139061,0.03774828852448964,0.03707416808491637,0.41710475486515575
2003-03-01,4470,4176,8588,3099,130233,5.9,131711,0.5204937121564974,0.03263456856241589,138821,0.034760774918799364,0.03417094877903837,0.4046494039065832
2003-04-01,4600,4291,8842,3108,130176,6,131826,0.5202442886224836,0.03320708225249895,139018,0.03517545476892825,0.03456123228304875,0.40602824697071416
2003-05-01,4678,4396,8957,3289,130197,6.1,131944,0.5222730825053031,0.03392828331504099,139154,0.035968570704394076,0.035330056555952005,0.4067343324823135
2003-06-01,4682,4365,9266,3390,130192,6.3,131772,0.505288150226635,0.033973482886102455,139458,0.03603139977878822,0.035391202321969906,0.396506125618012
2003-07-01,4639,4313,9011,2981,130183,6.2,131796,0.5148152258350904,0.03402829850935566,139194,0.03586489787453051,0.035233382140479885,0.40182786324752184
2003-08-01,4666,4414,8896,3190,130153,6.1,131630,0.5245053956834532,0.03407330046505926,139049,0.03508947162186038,0.03446801694590429,0.41005909403532914
2003-09-01,4799,4524,8921,3091,130252,6.1,131702,0.5379441766618092,0.034946320315623385,139173,0.035408285477382284,0.03476408386137253,0.4197113092390464
2003-10-01,4902,4556,8732,3305,130439,6,132061,0.5613834173156207,0.03583298408397579,139171,0.03725112888016624,0.03655988789989917,0.43045402144919953
2003-11-01,4767,4481,8576,3324,130482,5.8,132308,0.5558535447761194,0.034224528234623054,139058,0.03566775493937857,0.035024169096326885,0.42874993248081383
2003-12-01,4984,4659,8317,3414,130595,5.7,132489,0.5992545388962366,0.0362221725525827,138912,0.036862054443125736,0.03616766768426649,0.4545512538876185
2004-01-01,4900,4603,8370,3424,130765,5.7,132603,0.5854241338112306,0.03538618836398743,139135,0.03703590410277979,0.036350637241981176,0.4443653385632206
2004-02-01,4788,4469,8167,3532,130822,5.6,132898,0.5862617852332558,0.03477824149688805,138989,0.03417620889452844,0.03355860221678375,0.4507354833137379
2004-03-01,5227,4873,8491,3525,131139,5.8,132753,0.6155929808032033,0.037902752533530565,139630,0.03779196120147321,0.03704895597099156,0.4656781345893449
2004-04-01,5152,4827,8170,3511,131410,5.6,132799,0.6305997552019584,0.03740846005435347,139580,0.03704436496461461,0.036327844743816784,0.47434122085263863
